exam_score,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty
31.1,21,other,bba,2.01,48.2,yes,4.9,poor,mixed,medium,easy
81.6,24,female,bba,6.56,45.9,no,4.4,good,coaching,high,hard
68.0,17,other,bba,4.27,41.0,yes,8.9,good,self-study,low,moderate
100.0,18,female,bba,7.28,91.7,yes,5.9,good,coaching,high,easy
84.8,22,female,bca,7.13,64.3,yes,9.5,good,online videos,low,moderate
52.8,21,male,bba,0.78,45.4,yes,9.1,good,self-study,medium,easy
53.1,20,female,bca,4.45,54.7,yes,5.2,good,online videos,low,moderate
81.0,24,other,ba,5.53,69.5,yes,6.0,good,mixed,medium,easy
72.6,23,male,diploma,3.54,62.7,yes,9.2,good,group study,high,moderate
25.4,24,female,b.tech,0.33,48.5,yes,8.9,poor,online videos,medium,moderate
70.4,18,male,b.sc,2.53,76.8,yes,8.7,poor,online videos,high,moderate
40.9,17,other,b.com,1.9,43.8,no,9.9,average,self-study,low,moderate
64.8,19,other,bba,3.86,69.3,yes,8.2,poor,self-study,high,easy
55.9,18,male,bba,5.82,42.9,yes,5.7,good,self-study,medium,hard
97.5,20,other,b.com,7.89,65.1,yes,5.9,good,self-study,medium,moderate
83.7,22,female,ba,5.4,99.4,yes,6.9,poor,mixed,high,easy
83.5,20,other,b.tech,6.13,70.5,yes,9.2,good,online videos,high,moderate
75.6,23,female,b.sc,7.91,42.1,yes,7.2,poor,self-study,high,moderate
55.3,19,other,b.sc,7.91,53.1,yes,4.4,poor,self-study,medium,hard
46.2,21,male,b.com,0.49,85.1,yes,4.7,average,mixed,low,moderate
89.1,18,male,b.com,5.11,98.3,yes,9.3,good,coaching,low,easy
46.4,23,other,b.tech,0.52,78.7,yes,6.5,poor,coaching,medium,moderate
39.0,18,other,ba,0.31,81.1,yes,7.0,poor,self-study,low,moderate
68.8,20,male,ba,3.61,55.9,yes,7.7,good,online videos,high,easy
71.8,22,male,b.sc,3.44,87.2,yes,7.9,good,online videos,low,moderate
79.3,20,male,b.com,3.51,83.4,yes,9.9,average,mixed,high,moderate
44.2,17,other,b.com,0.45,75.9,yes,6.7,average,mixed,high,easy
76.4,21,male,bba,3.44,87.7,yes,6.6,good,coaching,low,easy
91.0,17,other,b.com,5.13,66.1,yes,8.2,average,coaching,high,easy
76.0,22,other,b.sc,5.7,79.9,yes,7.4,good,group study,high,easy
74.5,19,other,ba,3.38,94.2,yes,4.1,good,self-study,medium,moderate
73.5,22,male,bba,6.61,88.7,yes,5.5,average,group study,medium,moderate
51.4,17,other,bba,3.86,59.8,yes,5.5,poor,coaching,high,moderate
53.3,17,female,ba,2.45,40.6,no,9.5,average,mixed,low,hard
50.6,17,male,bca,5.9,47.4,yes,5.0,average,self-study,high,moderate
87.5,17,male,b.com,4.81,82.7,yes,8.2,good,mixed,low,moderate
68.3,22,male,b.sc,4.09,72.9,no,9.5,poor,online videos,medium,moderate
51.7,18,female,b.sc,2.17,93.6,yes,7.4,poor,mixed,low,hard
57.8,23,female,b.tech,2.38,57.7,yes,5.5,good,coaching,high,moderate
54.1,19,male,bba,0.67,68.3,yes,7.7,good,group study,high,easy
49.4,20,other,b.sc,4.48,52.0,yes,6.1,poor,self-study,high,easy
65.4,19,female,bba,3.95,63.1,yes,7.1,average,coaching,low,easy
70.7,21,male,diploma,4.88,49.6,yes,9.2,average,mixed,high,moderate
40.3,20,female,diploma,5.37,47.6,no,6.5,poor,online videos,low,easy
39.6,19,female,bba,2.06,62.6,yes,5.2,average,coaching,low,moderate
84.0,24,other,bca,6.45,56.3,yes,4.6,poor,coaching,low,easy
69.8,21,other,b.com,3.54,90.8,no,8.5,average,group study,high,moderate
66.5,18,male,ba,5.35,42.8,yes,9.4,poor,group study,high,easy
100.0,24,male,bca,7.91,88.4,yes,9.1,average,coaching,high,moderate
62.1,18,other,bba,5.35,61.4,no,9.8,poor,mixed,medium,hard
37.0,20,other,bba,0.77,89.4,yes,7.3,poor,coaching,low,moderate
40.0,17,other,b.com,2.98,99.4,yes,9.5,poor,online videos,low,moderate
40.3,22,other,diploma,0.73,71.1,no,5.9,good,online videos,low,moderate
80.1,18,female,bca,3.81,93.0,yes,5.3,average,group study,medium,hard
41.7,18,male,bca,0.91,99.4,yes,5.2,average,coaching,medium,moderate
49.6,19,other,bba,3.51,46.9,yes,5.7,average,group study,high,moderate
55.8,22,female,b.com,2.21,91.7,yes,8.7,good,coaching,low,moderate
58.1,18,female,diploma,0.19,99.4,yes,9.7,good,mixed,medium,moderate
68.0,20,female,diploma,4.12,78.9,no,9.1,average,mixed,high,hard
54.9,22,other,b.sc,2.35,67.6,yes,9.5,poor,mixed,low,hard
100.0,21,female,bba,4.85,76.9,yes,9.5,poor,coaching,high,easy
90.7,22,other,bba,6.18,57.0,yes,9.9,poor,mixed,high,moderate
78.5,19,male,b.sc,6.92,55.7,yes,8.2,good,online videos,high,moderate
80.0,22,female,b.sc,6.61,49.8,yes,7.1,good,group study,high,hard
33.8,24,male,bca,3.12,77.6,yes,5.8,poor,mixed,low,moderate
70.4,17,other,ba,0.96,95.8,yes,9.9,good,group study,medium,easy
26.4,20,other,b.tech,0.18,57.4,no,9.9,poor,online videos,low,moderate
74.9,19,other,b.tech,6.78,64.1,yes,6.0,poor,self-study,medium,hard
52.2,22,female,ba,4.05,55.4,yes,7.7,poor,online videos,high,moderate
91.2,24,male,b.com,7.01,91.0,no,9.1,average,online videos,low,moderate
76.2,23,male,ba,5.45,58.0,yes,5.7,average,coaching,high,moderate
30.9,20,other,bba,2.29,40.7,yes,7.6,average,coaching,medium,easy
99.2,22,female,b.sc,6.51,72.2,no,8.3,good,online videos,low,moderate
83.3,20,female,diploma,4.78,66.2,yes,7.3,average,online videos,medium,moderate
74.5,21,other,bba,4.7,79.4,yes,4.1,average,mixed,high,moderate
53.1,24,other,b.com,4.33,49.0,yes,6.9,good,self-study,medium,moderate
95.1,18,male,b.com,5.84,80.9,yes,6.2,good,coaching,high,hard
43.2,21,other,b.com,0.26,43.6,no,7.3,good,coaching,low,moderate
74.0,23,female,bca,7.14,69.9,yes,7.4,poor,self-study,low,easy
62.4,23,other,ba,4.41,41.7,yes,5.9,poor,online videos,medium,moderate
47.6,17,other,diploma,0.62,97.8,yes,7.2,average,online videos,low,hard
51.1,23,female,b.sc,1.86,68.1,yes,7.1,good,online videos,medium,moderate
40.9,21,male,b.com,4.5,47.0,yes,7.3,poor,self-study,low,moderate
100.0,23,female,b.sc,7.74,78.4,yes,8.5,good,group study,high,easy
68.0,22,female,ba,4.97,94.6,no,9.9,poor,group study,high,hard
68.7,18,other,b.com,3.15,63.1,yes,5.8,good,mixed,medium,moderate
73.0,18,other,b.tech,6.67,69.3,yes,8.6,poor,mixed,medium,moderate
49.5,24,female,bba,4.14,57.3,yes,9.4,poor,group study,high,hard
43.1,20,male,b.com,2.1,43.2,yes,9.9,poor,coaching,low,moderate
68.9,19,other,bca,3.75,86.0,yes,8.2,average,mixed,medium,moderate
63.1,18,male,diploma,7.0,61.8,no,6.4,average,online videos,low,easy
54.8,20,other,diploma,1.14,77.8,yes,9.8,good,group study,low,moderate
46.7,23,female,b.com,2.38,86.7,yes,4.4,average,group study,low,moderate
72.1,23,male,diploma,5.03,94.6,yes,8.9,good,mixed,low,easy
43.1,17,female,diploma,2.11,77.5,no,8.4,average,self-study,medium,easy
59.9,20,male,bca,1.37,48.1,yes,9.3,good,coaching,low,hard
33.9,19,other,b.com,0.49,44.4,yes,7.2,average,self-study,medium,hard
72.9,22,female,ba,7.02,74.4,yes,7.6,average,online videos,high,easy
54.2,18,male,bca,6.72,77.8,yes,4.4,average,group study,medium,easy
67.8,22,male,b.tech,6.04,41.4,yes,7.8,poor,online videos,high,easy
79.0,20,female,bba,7.63,72.8,yes,6.2,average,online videos,high,easy
47.5,21,other,b.com,1.33,56.5,yes,8.2,average,self-study,high,moderate
58.3,20,male,bba,2.21,92.3,no,4.8,average,online videos,high,hard
75.1,18,other,ba,4.91,77.3,yes,6.9,good,mixed,low,moderate
47.6,19,female,b.sc,4.13,66.5,yes,7.1,poor,mixed,low,moderate
49.2,24,other,b.com,1.56,71.6,yes,8.4,good,mixed,low,moderate
61.9,18,other,ba,2.8,87.4,no,7.7,good,self-study,high,moderate
62.1,22,male,bba,4.54,81.2,yes,8.3,average,mixed,low,moderate
63.3,18,other,b.sc,7.74,57.2,yes,4.6,good,online videos,low,hard
74.7,20,other,bca,6.66,94.2,yes,4.4,good,self-study,high,hard
19.599,22,other,bba,0.85,66.8,yes,7.3,average,group study,low,easy
58.3,19,other,bca,1.18,41.1,yes,9.8,good,coaching,medium,easy
50.5,17,male,b.tech,2.0,78.0,yes,5.7,good,self-study,medium,moderate
45.0,20,other,bca,4.94,42.6,yes,7.1,poor,online videos,low,moderate
55.0,21,female,bca,0.64,93.0,yes,9.4,poor,mixed,high,easy
69.6,18,other,b.tech,4.27,46.1,yes,9.6,good,group study,medium,moderate
80.3,24,male,bca,7.63,92.8,yes,4.2,poor,self-study,medium,hard
51.3,19,other,b.com,1.68,67.2,yes,5.7,good,online videos,medium,hard
52.3,24,other,bba,3.56,60.1,yes,8.9,poor,coaching,low,easy
84.3,23,female,diploma,6.97,93.4,no,5.6,poor,group study,medium,easy
49.3,19,other,b.tech,1.99,43.0,no,4.4,poor,mixed,medium,moderate
62.5,20,other,ba,6.16,58.0,yes,8.3,average,group study,high,moderate
60.8,21,other,bca,4.73,44.1,yes,4.7,average,self-study,high,easy
36.4,20,male,ba,1.86,59.4,yes,6.8,good,mixed,low,easy
37.0,20,other,ba,1.15,70.4,yes,7.8,average,group study,medium,moderate
49.8,19,female,bba,0.2,81.1,yes,4.3,average,self-study,medium,easy
36.5,21,other,b.com,0.69,74.6,yes,9.0,poor,self-study,low,moderate
47.6,19,female,diploma,0.72,52.4,yes,4.3,good,coaching,high,moderate
63.1,24,female,bba,3.53,70.7,yes,6.7,average,group study,low,moderate
68.5,24,male,b.tech,0.46,89.9,yes,7.7,poor,coaching,high,easy
75.6,20,male,diploma,4.21,96.9,yes,5.0,good,coaching,low,easy
100.0,24,female,bba,7.82,63.9,yes,9.9,average,coaching,low,easy
57.9,18,other,ba,5.33,56.2,no,7.5,average,group study,high,moderate
44.5,19,female,b.com,0.53,46.6,yes,7.8,good,group study,low,easy
95.6,21,other,diploma,6.44,79.6,yes,9.6,good,mixed,medium,hard
58.0,24,female,ba,5.09,84.4,yes,8.1,poor,self-study,high,easy
57.6,22,male,b.tech,6.47,54.7,yes,5.9,average,group study,low,hard
42.3,23,female,bca,3.28,46.7,yes,7.4,poor,mixed,low,moderate
39.6,23,female,diploma,0.12,60.0,yes,9.2,poor,mixed,high,easy
69.5,20,other,b.tech,2.16,85.7,yes,7.0,average,self-study,high,moderate
45.5,22,male,b.com,0.14,84.1,yes,4.1,average,online videos,medium,hard
43.5,19,female,diploma,0.68,56.0,yes,6.1,good,mixed,medium,moderate
85.0,24,other,b.com,6.68,65.1,yes,5.5,good,group study,low,moderate
54.0,21,female,ba,5.17,41.2,yes,4.8,good,online videos,medium,easy
68.7,22,other,bca,3.94,58.6,yes,7.8,poor,self-study,high,moderate
28.1,18,other,ba,1.16,50.0,yes,7.1,average,self-study,high,moderate
80.6,17,male,b.sc,6.1,97.8,yes,5.1,average,coaching,low,easy
26.7,17,male,diploma,0.15,93.6,yes,4.7,poor,self-study,low,hard
88.3,17,other,b.tech,5.66,90.3,yes,6.1,average,coaching,low,hard
59.6,23,female,ba,5.87,78.9,yes,7.2,poor,online videos,medium,hard
81.3,24,male,bca,7.87,68.0,yes,4.7,average,mixed,low,easy
45.7,24,male,b.sc,0.77,71.7,yes,4.7,average,group study,low,moderate
58.1,21,other,ba,2.94,70.2,yes,8.3,average,coaching,medium,easy
49.2,18,male,b.tech,3.29,47.4,yes,5.3,poor,group study,low,easy
53.1,23,male,diploma,5.11,67.2,yes,4.4,average,online videos,medium,hard
75.2,23,other,bba,6.74,90.9,yes,5.9,poor,self-study,medium,moderate
34.6,23,other,b.com,2.84,59.1,yes,6.5,poor,group study,medium,easy
53.4,23,male,bba,2.08,48.8,yes,8.2,poor,coaching,medium,easy
83.4,17,male,bca,4.12,76.4,yes,4.3,good,coaching,medium,moderate
99.3,24,other,diploma,7.37,97.3,yes,7.6,average,online videos,high,moderate
36.8,20,female,b.tech,3.95,55.7,no,7.4,poor,self-study,high,moderate
60.5,19,male,b.com,4.44,73.7,yes,4.1,poor,coaching,high,easy
79.7,23,other,bba,3.51,94.3,no,8.9,average,online videos,high,hard
44.7,19,other,ba,1.92,64.8,yes,5.2,good,coaching,low,easy
68.5,23,other,diploma,5.82,72.5,yes,6.8,good,online videos,medium,easy
86.8,18,male,ba,3.92,95.9,yes,9.6,good,group study,medium,hard
42.3,23,female,b.com,3.11,44.2,yes,7.5,average,group study,low,hard
90.6,17,male,bba,7.69,91.5,yes,6.8,poor,group study,low,moderate
45.5,19,male,bba,3.52,46.1,yes,7.9,average,group study,low,moderate
56.5,20,male,b.sc,5.29,48.1,yes,7.1,average,mixed,low,moderate
25.3,23,other,ba,0.15,60.5,yes,8.2,poor,online videos,medium,easy
86.2,22,female,b.com,6.61,81.2,yes,5.5,poor,mixed,low,easy
35.4,19,female,b.com,0.77,59.6,yes,5.8,poor,group study,medium,easy
89.2,18,female,ba,5.89,88.6,yes,8.3,good,self-study,medium,moderate
43.9,17,other,bca,3.76,60.4,no,4.1,poor,self-study,medium,moderate
31.6,19,female,ba,1.04,85.8,yes,6.4,good,self-study,low,easy
92.4,19,female,b.tech,7.38,58.6,yes,7.1,average,self-study,high,easy
75.0,21,other,bca,5.9,80.3,yes,6.0,poor,self-study,low,hard
40.4,24,female,b.sc,3.32,69.9,yes,6.0,average,group study,high,moderate
78.6,22,other,b.sc,3.17,66.6,yes,9.9,good,coaching,medium,hard
85.9,19,female,b.sc,7.17,95.0,yes,9.5,average,self-study,high,moderate
84.2,20,other,b.sc,7.05,44.8,yes,9.5,good,online videos,medium,easy
47.4,24,female,b.com,3.8,45.3,yes,6.7,average,mixed,low,moderate
71.5,24,female,bca,2.72,88.7,yes,9.9,poor,online videos,high,hard
76.4,24,male,b.tech,2.62,93.3,no,9.8,good,coaching,high,easy
48.9,19,other,bca,1.03,69.6,yes,8.5,poor,coaching,medium,easy
